date,DB,G1,G2,G3,G4,G5,G6,G7
2025-04-25,48177,59647,20415 23215,20284 33476 90743 04028 41596 46183,1012 0223 4790 7278,7391 6809 5596 2770 1997 3368,833 104 782,13 66 12 41
2025-04-24,85514,73654,19350 01852,62179 91449 83036 53666 98211 50138,0205 3087 9067 5584,9966 6257 7775 3848 2853 1526,382 305 904,60 56 71 54
2025-04-23,74529,3639,06922 50756,87939 31477 94428 56698 03175 21603,2606 4366 2038 7630,6361 7606 9561 0423 6445 0338,954 419 615,79 42 55 92
2025-04-22,95609,96558,64443 06818,36524 88678 73931 60844 69849 79878,3579 0956 2232 9796,5292 1643 4774 4139 8077 5796,766 898 245,05 62 09 54
2025-04-21,74906,76418,31723 37024,43406 83752 69055 95844 79164 64179,3982 4919 7233 1669,8706 2381 0059 5539 4060 0756,292 744 224,49 50 83 76
2025-04-20,24692,35550,60460 92338,38226 30643 82953 96627 24267 07143,5157 6348 6294 2944,4308 0054 9700 2192 0093 4250,120 953 787,54 15 87 00
2025-04-19,59508,45905,48036 66057,75845 97356 62335 43342 43170 79373,8945 0151 7533 7614,8277 3589 6842 1183 2559 5663,680 131 662,66 92 82 52
2025-04-18,45992,56139,84594 30470,32425 49152 27463 29040 98816 64096,1595 8118 4806 2291,1094 8544 9311 5918 8130 1323,887 014 149,47 40 09 59
2025-04-17,36923,7843,75875 74635,57092 85483 82623 76533 70669 42113,0162 3104 0957 5557,7591 0471 6016 0169 7821 7845,238 932 164,03 53 54 78
2025-04-16,19409,43686,95698 11630,79516 26391 68013 27471 97978 34710,1339 1663 1679 0296,0481 7361 9785 7077 4530 8255,388 553 179,89 73 76 77
2025-04-15,68908,91676,18319 83976,27319 12559 62205 97157 55577 32890,8955 3111 2148 7486,2900 8986 5018 8671 5358 8858,209 904 079,37 35 91 00
